source,taxonID,locationID,locality,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,occurrenceRemarks
,alien-fishes-checklist:taxon:68deb7328ae700d1fa49933e484e3af8,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,widespreadInvasive,corridor,2010/2024,
,alien-fishes-checklist:taxon:69bdf9b7a061aed637c31e075156f71c,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,unintentional,2016/2016,
,alien-fishes-checklist:taxon:6bcf9c25959c3b2535055ba465ac93b1,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,aquacultureMariculture,1884/2015,
,alien-fishes-checklist:taxon:6bcf9c25959c3b2535055ba465ac93b1,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,liveFoodBait,1884/2015,
,alien-fishes-checklist:taxon:6e0fcd4097785a262970615380fdd48d,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,invasive,aquacultureMariculture,1871/2024,
,alien-fishes-checklist:taxon:6e0fcd4097785a262970615380fdd48d,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,invasive,pet,1871/2024,
,alien-fishes-checklist:taxon:72f50769ed62a241530df9c3c41a0ae8,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,invasive,pet,1885/2024,
,alien-fishes-checklist:taxon:783d5d459c8ac9ae21edc56677d029a7,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,ballastWater,2018/2021,
,alien-fishes-checklist:taxon:783d5d459c8ac9ae21edc56677d029a7,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,corridor,2018/2021,
,alien-fishes-checklist:taxon:784e69c81f091e0340879bd90055e3a3,ISO_3166-2:BE-VLG,Flemish Region,BE,doubtful,introduced,failing,ballastWater,2018/2018,
,alien-fishes-checklist:taxon:7864ebfbde9459e7ce7192cc405f9077,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,invasive,liveFoodBait,1890/2024,
,alien-fishes-checklist:taxon:798907ff71a3cd93d9940145812760b1,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,ballastWater,2015/2024,
,alien-fishes-checklist:taxon:798907ff71a3cd93d9940145812760b1,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,corridor,2015/2024,
,alien-fishes-checklist:taxon:816602296ae2114f222ebc14b2d39420,ISO_3166-2:BE-VLG,Flemish Region,BE,doubtful,introduced,failing,ballastWater,1998/2005,
,alien-fishes-checklist:taxon:81f3b13dc63b2940665387c85baefae7,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,1601/2009,
,alien-fishes-checklist:taxon:8aba74227aea75eea48a3a6808e7db14,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,corridor,2020/2020,
,alien-fishes-checklist:taxon:a9f9dc7d2201fce0ecb7bb2d777d6246,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,colonising,ornamental,2019/2024,
,alien-fishes-checklist:taxon:c2431213223207ae53fbe496dfe366e8,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,unintentional,2024/2024,
,alien-fishes-checklist:taxon:c937610f85ea8a74f105724c8f198049,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,angling,1984/2024,
,alien-fishes-checklist:taxon:d9d4509efbdd5d427f9ee370d645ac02,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,unintentional,1601/2023,
,alien-fishes-checklist:taxon:dd184bae497ac07191f2f84b6c43df8b,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,colonising,liveFoodBait,1984/2024,
,alien-fishes-checklist:taxon:dec8ee68b3fae146c056b4972e3e6b83,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,aquacultureMariculture,2001/2019,
,alien-fishes-checklist:taxon:dec8ee68b3fae146c056b4972e3e6b83,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2001/2019,
,alien-fishes-checklist:taxon:e14d185c46fc1f470dd075ac1c4a40ab,ISO_3166-2:BE-VLG,Flemish Region,BE,doubtful,introduced,failing,unintentional,2016/2016,
,alien-fishes-checklist:taxon:e77935e4437424387a49b0e89ade96ef,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,biologicalControl,1975/2020,
,alien-fishes-checklist:taxon:ed016d9744c4b866c67ab3bb3bf7a185,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,invasive,aquacultureMariculture,1201/2023,
,alien-fishes-checklist:taxon:f0c5c8c1ae9ec26588b41ead5dfd8261,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,invasive,ballastWater,2012/2024,
,alien-fishes-checklist:taxon:f0c5c8c1ae9ec26588b41ead5dfd8261,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,invasive,corridor,2012/2024,
,alien-fishes-checklist:taxon:f6dfb7309bb723fe8e7f34d32dcd2b35,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,cultivated,aquacultureMariculture,1980/2008,
