taxon_id_hash,scientific_name,dutch_name,common_name,kingdom,phylum,class,order,family,genus,taxon_rank,nomenclatural_code,location,country_code,occurrence_status,establishment_means,degree_of_establishment,old_introduction_pathway_will_be_deleted,introduction_pathway_1,introduction_pathway_2,introduction_pathway_3,date_first_observation,date_last_observation,source,occurrence_remarks,native_range,realm_will_be_deleted,terrestrial,marine,freshwater,host,abundance,threat_status,date_added,added_by,verified_by,taxon_id
783d5d459c8ac9ae21edc56677d029a7,"Gobiosoma bosc (Lacepède, 1800)",Naakte grondel,Naked goby,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Gobiosoma,species,ICZN,Flanders,BE,present,introduced,established,ballastWater | corridor,ballastWater,,,2018,2021,DOI: 10.3750/AIEP/02688,,North America,estuarine,FALSE,TRUE,TRUE,,rare,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:783d5d459c8ac9ae21edc56677d029a7
e77935e4437424387a49b0e89ade96ef,"Hypophthalmichthys molitrix (Valenciennes, 1844)",Zilverkarper,Silver carp,Animalia,Chordata,Actinopterygii,Cypriniformes,Xenocyprididae,Hypophthalmichthys,species,ICZN,Flanders,BE,present,introduced,casual,biologicalControl,biologicalControl,,,1975,2020,doi:10.1111/j.1095-8649.2007.01679.x,,Asia,freshwater,FALSE,TRUE,FALSE,,occasional,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:e77935e4437424387a49b0e89ade96ef
5340e4b13d517176f46c1b9cd4711ea1,"Hypophthalmichthys nobilis (Richardson, 1845)",Grootkopkarper,Bighead caro,Animalia,Chordata,Actinopterygii,Cypriniformes,Xenocyprididae,Hypophthalmichthys,species,ICZN,Flanders,BE,present,introduced,casual,biologicalControl,biologicalControl,,,1975,,doi:10.1111/j.1095-8649.2007.01679.x,,Asia,freshwater,FALSE,TRUE,FALSE,,rare,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:5340e4b13d517176f46c1b9cd4711ea1
641be9ef6247d5891954556e5ddabb7d,"Ictalurus punctatus (Rafinesque, 1818)",Amerikaanse meerval / Kanaalmeerval,Channel catfish,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus,species,ICZN,Flanders,BE,present,introduced,failing,aquacultureMariculture,aquacultureMariculture,fisheryInTheWild,,1884,2001,doi:10.1111/j.1095-8649.2007.01679.x,,North America,freshwater,FALSE,TRUE,FALSE,,rare,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:641be9ef6247d5891954556e5ddabb7d
72f50769ed62a241530df9c3c41a0ae8,"Lepomis gibbosus (Linnaeus, 1758)",Zonnebaars,Pumpkinseed,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,species,ICZN,Flanders,BE,present,introduced,invasive,pet,pet,,,1885,2024,doi:10.1111/j.1095-8649.2007.01679.x,,North America,freshwater,FALSE,TRUE,FALSE,,frequent,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:72f50769ed62a241530df9c3c41a0ae8
c937610f85ea8a74f105724c8f198049,"Leuciscus aspius (Linnaeus, 1758)",Roofblei,Asp,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Leuciscus,species,ICZN,Flanders,BE,present,introduced,established,angling,fisheryInTheWild,,,1984,2024,doi:10.1111/j.1095-8649.2007.01679.x,,Eastern Europe,freshwater,FALSE,TRUE,FALSE,,occasional,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:c937610f85ea8a74f105724c8f198049
816602296ae2114f222ebc14b2d39420,"Micropogonias undulatus (Linnaeus, 1766)",Knorrepos,Atlantic croaker,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Micropogonias,species,ICZN,Flanders,BE,doubtful,introduced,failing,ballastWater,ballastWater,,,1998,2005,https://doi.org/10.1111/j.1095-8649.2004.00369.x,,North America,estuarine,FALSE,TRUE,TRUE,,rare,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:816602296ae2114f222ebc14b2d39420
a9f9dc7d2201fce0ecb7bb2d777d6246,"Misgurnus bipartitus (Sauvage & Dabry de Thiersant, 1874)",Noord-Aziatische modderkruiper,Asian weatherloach,Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Misgurnus,species,ICZN,Flanders,BE,present,introduced,colonising,ornamental,pet,releaseInNature,,2019,2024,Brys et al. (2020) Oriental Weather Loach: a new invasive fish species in Flanders that remains no longer invisible via its eDNA. Natuur.focus 19(2): 70-74 [in Dutch].,,Asia,freshwater,FALSE,TRUE,FALSE,,occasional,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:a9f9dc7d2201fce0ecb7bb2d777d6246
798907ff71a3cd93d9940145812760b1,Neogobius fluviatilis (Pallas 1814),Pontische stroomgrondel,Monkey goby,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Neogobius,species,ICZN,Flanders,BE,present,introduced,established,ballastWater | corridor,ballastWater,corridor,,2015,2024,VIS,,Eastern Europe,freshwater,FALSE,TRUE,FALSE,,rare,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:798907ff71a3cd93d9940145812760b1
68deb7328ae700d1fa49933e484e3af8,Neogobius melanostomus (Pallas 1814),Zwartbekgrondel,Round goby,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Neogobius,species,ICZN,Flanders,BE,present,introduced,widespreadInvasive,ballastWater | corridor,ballastWater,corridor,,2010,2024,http://dx.doi.org/10.3391/ai.2014.9.3.06,,Eastern Europe,freshwater,FALSE,TRUE,FALSE,,dominant,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:68deb7328ae700d1fa49933e484e3af8
